student_id,age,gender,years_in_program,cumulative_gpa,backlogs_count,attendance_percentage,consecutive_absences_max,daily_study_hours,class_participation_score,extracurricular_involvement_score,peer_collaboration_score,ct1_marks_25,ct2_marks_25,assignment_marks_15,mid_sem_marks_35,risk_category
53,19,Male,4,7.97,2,70.5,1,1.86,6.78,5.15,5.68,12.3,14.6,11.0,24.7,Moderate-Risk
54,19,Male,3,6.5,2,84.5,1,4.01,7.35,1.58,8.67,16.9,16.2,12.6,18.3,Moderate-Risk
55,19,Male,3,5.27,0,70.8,2,1.28,5.54,6.7,4.76,10.4,10.7,11.8,14.5,High-Risk
56,17,Female,2,5.12,3,67.5,2,1.7,7.44,7.74,8.09,16.3,14.9,9.7,18.2,Moderate-Risk
57,20,Female,1,8.11,0,74.0,2,2.88,8.55,7.09,8.26,22.0,22.4,8.3,25.1,Good-Performance
58,17,Male,4,5.74,1,83.3,0,1.11,5.47,2.77,6.84,9.7,9.1,6.0,16.9,High-Risk
59,21,Female,3,4.32,0,69.7,1,1.65,6.72,5.87,3.65,8.7,13.4,7.8,11.2,High-Risk
60,21,Female,4,8.24,0,83.3,1,3.29,7.83,4.66,6.87,23.1,21.7,11.3,26.0,Good-Performance
61,22,Other,3,6.49,1,68.7,2,2.68,10.0,5.0,8.25,22.1,16.2,10.0,18.0,Moderate-Risk
62,21,Female,2,6.65,0,89.3,1,2.3,8.43,8.32,6.76,17.1,22.6,11.1,25.6,Good-Performance
63,19,Female,1,7.47,1,88.4,0,2.97,7.47,4.13,6.37,22.0,17.7,8.6,19.6,Moderate-Risk
64,22,Female,2,6.63,0,81.3,2,1.49,5.56,6.36,5.55,21.4,17.0,10.4,23.2,Moderate-Risk
65,19,Female,3,7.25,4,75.2,1,2.88,4.49,1.51,5.11,17.4,19.6,7.6,20.4,Moderate-Risk
66,18,Male,4,7.83,2,90.6,0,3.81,8.01,5.14,6.46,19.3,20.6,11.6,31.9,Good-Performance
67,22,Male,4,8.84,0,79.2,2,3.42,4.51,6.86,7.7,21.4,19.2,14.4,28.0,Good-Performance
68,19,Male,2,8.1,0,85.8,4,2.78,9.66,4.7,5.88,22.2,17.9,10.0,26.3,Moderate-Risk
69,17,Male,2,3.59,3,68.1,1,1.83,2.24,6.23,6.04,5.0,11.8,7.6,17.0,High-Risk
70,19,Male,1,8.48,0,87.5,1,2.75,5.86,3.38,2.14,19.3,20.8,11.1,27.7,Moderate-Risk
71,21,Male,2,5.91,2,59.8,4,2.24,7.08,4.07,5.63,10.6,12.3,7.3,18.5,High-Risk
72,18,Female,4,5.25,2,85.9,3,1.76,6.07,4.73,7.28,11.0,18.3,8.6,18.6,High-Risk
73,19,Female,3,5.92,1,93.4,0,4.73,6.97,3.92,7.9,17.5,24.0,8.6,21.1,Moderate-Risk
74,17,Female,2,8.2,1,71.9,3,2.06,5.62,6.8,4.46,17.7,18.0,12.0,23.8,Moderate-Risk
75,21,Male,4,8.05,1,80.9,2,0.53,6.56,7.19,6.74,17.1,11.5,11.2,22.0,Moderate-Risk
76,19,Male,1,6.81,1,62.0,2,1.72,6.73,6.3,7.51,14.5,17.5,11.7,19.5,Moderate-Risk
77,18,Female,4,9.58,1,80.9,1,1.63,5.68,0.0,4.92,17.4,18.4,12.0,25.0,Good-Performance
78,18,Female,3,7.79,3,59.2,3,1.96,5.47,4.36,3.58,15.9,18.1,10.6,24.4,Moderate-Risk
79,20,Other,1,4.14,6,68.0,4,0.87,5.7,6.68,4.11,19.0,13.8,5.2,23.0,High-Risk
80,21,Female,3,4.71,0,66.1,4,1.12,5.15,4.67,3.63,15.7,16.7,9.6,16.6,Moderate-Risk
81,22,Female,1,6.45,0,87.5,3,1.87,8.0,4.55,7.65,14.2,14.9,11.6,18.7,Moderate-Risk
82,19,Male,3,6.38,3,91.5,2,3.3,7.38,6.87,6.62,14.9,17.7,8.6,25.8,Moderate-Risk
83,17,Male,2,3.93,4,80.0,1,1.36,5.42,6.97,5.42,14.3,13.2,10.1,25.2,Moderate-Risk
84,21,Male,1,7.72,0,94.6,0,4.15,4.79,6.2,4.61,18.0,20.2,12.8,28.4,Moderate-Risk
85,20,Female,3,5.62,0,74.1,1,2.15,7.71,2.02,8.18,16.4,17.3,9.2,19.3,Moderate-Risk
86,21,Female,2,8.93,0,93.9,0,4.61,6.39,2.76,5.94,21.0,24.0,13.8,30.3,Good-Performance
87,17,Male,1,3.97,1,68.9,2,1.11,7.89,5.79,7.04,12.7,8.3,7.9,17.3,High-Risk
88,18,Female,4,5.28,3,69.1,2,3.79,4.7,0.84,4.56,19.8,18.3,9.7,21.8,Moderate-Risk
89,21,Male,1,5.08,4,81.7,1,2.36,6.41,8.28,4.49,15.5,14.9,8.2,16.5,Moderate-Risk
90,21,Male,3,5.44,1,73.7,5,1.02,6.58,5.27,7.82,19.3,12.4,9.8,22.1,Moderate-Risk
91,19,Male,3,5.98,2,80.3,1,2.67,5.82,3.59,6.27,12.7,15.7,6.7,17.7,High-Risk
92,21,Male,1,8.58,1,72.3,4,3.94,7.7,3.94,6.77,18.1,21.9,13.0,33.2,Good-Performance
93,22,Female,4,5.2,0,81.3,1,2.43,6.1,7.41,6.69,17.7,16.8,12.2,25.1,Moderate-Risk
94,19,Male,2,5.62,2,79.2,0,1.95,8.73,2.48,8.21,13.3,8.3,8.6,25.1,High-Risk
95,22,Female,1,3.42,6,64.3,2,1.71,5.14,1.15,7.75,11.2,11.2,7.7,17.8,High-Risk
96,18,Female,2,3.74,4,57.7,0,0.0,4.52,3.01,4.21,11.6,9.8,6.3,5.6,High-Risk
97,18,Male,3,4.47,1,61.4,0,1.75,5.89,5.59,5.77,10.0,15.3,7.0,14.4,High-Risk
98,21,Male,1,4.55,3,61.9,2,2.61,7.18,8.2,4.87,7.2,14.1,10.0,20.2,High-Risk
99,20,Female,2,5.25,3,77.0,1,2.54,6.76,7.43,6.6,17.8,22.4,11.6,28.1,Moderate-Risk
100,17,Male,2,3.07,2,56.5,2,0.0,4.61,4.13,5.32,4.3,8.3,4.5,11.0,High-Risk
101,21,Female,3,5.75,1,70.1,4,0.3,3.89,5.57,5.29,13.3,10.0,9.8,15.6,High-Risk
102,18,Male,2,8.68,1,100.0,0,4.85,9.35,5.7,6.51,19.4,19.6,12.4,30.9,Moderate-Risk
103,21,Female,2,8.69,0,78.9,1,3.63,7.87,5.44,6.14,20.5,19.3,11.9,35.0,Good-Performance
104,17,Female,1,5.16,4,62.6,3,2.35,4.07,1.06,9.58,13.2,11.3,8.2,11.8,High-Risk
105,21,Male,2,4.61,2,85.9,0,2.57,6.59,4.37,3.4,16.3,12.6,8.1,17.7,Moderate-Risk
106,21,Male,3,5.61,3,66.6,3,1.1,7.57,6.58,6.27,14.1,15.4,6.4,25.0,High-Risk
107,21,Female,2,6.64,2,74.1,1,0.37,7.38,8.73,4.21,17.7,15.9,9.0,17.3,Moderate-Risk
108,20,Male,1,4.86,1,65.5,6,1.11,8.19,5.8,6.87,9.1,13.6,7.2,13.3,High-Risk
109,19,Male,2,8.91,0,95.4,1,3.81,9.18,7.19,4.7,18.8,25.0,11.7,25.6,Good-Performance
110,21,Male,3,7.09,1,61.7,2,2.94,2.98,6.77,5.48,25.0,16.0,8.6,22.7,Moderate-Risk
111,18,Male,3,6.55,4,72.4,2,1.4,7.99,4.24,5.48,16.0,11.1,7.5,20.6,Moderate-Risk
112,21,Female,2,9.66,0,89.9,0,3.93,5.04,2.33,7.61,23.5,19.1,11.9,26.6,Good-Performance
113,20,Female,3,5.63,2,69.2,5,2.65,8.09,7.26,4.37,12.3,11.6,9.9,25.8,High-Risk
114,19,Male,3,6.38,0,84.6,2,3.71,8.1,8.7,4.57,20.0,15.7,9.2,27.9,Moderate-Risk
115,20,Female,1,6.57,2,77.0,3,1.62,8.38,4.16,4.94,13.2,2.6,6.7,25.1,High-Risk
116,20,Male,2,5.18,4,71.0,1,1.8,5.97,7.38,6.74,10.4,14.9,5.7,17.2,Moderate-Risk
117,17,Male,1,6.26,2,87.1,2,2.27,6.68,5.3,6.63,20.3,9.7,8.5,23.3,Moderate-Risk
118,17,Female,4,9.94,0,91.7,0,5.04,9.92,2.24,6.52,25.0,25.0,13.0,27.7,Good-Performance
119,18,Other,1,6.13,1,84.3,1,2.27,5.14,5.09,6.96,17.6,15.6,8.1,27.5,Good-Performance
120,17,Male,2,7.58,1,77.5,2,0.0,6.55,3.86,2.89,16.9,15.2,7.7,25.5,Moderate-Risk
121,19,Male,2,5.88,3,67.3,3,1.51,5.09,5.89,5.63,11.7,18.3,7.6,15.1,High-Risk
122,21,Male,2,7.13,0,92.6,0,3.02,6.68,5.8,6.28,15.1,17.8,10.7,28.7,Good-Performance
123,20,Female,4,6.58,4,66.9,1,0.37,4.34,3.71,6.11,11.9,8.5,6.8,17.2,High-Risk
124,19,Male,2,4.64,1,53.0,4,0.0,4.89,2.38,6.05,11.6,9.2,8.8,16.9,High-Risk
125,22,Male,2,4.38,5,77.7,3,1.54,7.07,4.08,6.77,17.8,10.3,9.0,23.8,High-Risk
126,20,Female,3,9.32,0,87.7,1,3.96,10.0,8.1,7.65,23.9,24.7,10.3,31.4,Good-Performance
127,17,Male,3,8.83,0,89.0,2,4.1,7.38,2.65,9.37,18.5,23.5,12.0,34.8,Good-Performance
128,21,Male,4,6.77,2,67.5,3,0.08,5.2,6.45,7.09,7.4,13.0,8.9,15.3,High-Risk
129,20,Male,3,5.41,2,74.6,2,0.38,1.6,6.2,3.04,12.3,15.8,6.9,15.3,High-Risk
130,20,Male,2,3.96,3,75.2,1,2.2,7.47,3.9,7.73,7.6,13.7,5.5,15.8,High-Risk
131,20,Male,1,7.71,0,76.0,3,2.39,4.29,3.31,5.61,15.7,15.1,10.9,19.5,Moderate-Risk
132,20,Female,4,6.58,1,76.5,1,2.63,7.11,6.19,5.54,18.0,17.3,9.2,24.2,Moderate-Risk
133,17,Female,3,7.17,1,64.2,0,1.93,6.84,4.94,4.17,18.9,17.0,9.3,23.6,Moderate-Risk
134,20,Female,1,7.89,0,78.2,4,3.22,8.38,3.99,6.21,17.4,16.6,9.9,25.1,Good-Performance
135,21,Other,2,6.71,3,67.2,3,2.0,4.58,5.94,6.19,16.5,6.8,11.5,19.9,Moderate-Risk
136,18,Male,3,7.3,3,82.6,3,2.39,7.67,8.25,7.64,22.2,16.7,8.8,25.6,Good-Performance
137,20,Male,1,5.22,2,68.2,2,0.62,8.07,7.48,4.94,15.1,13.6,7.9,19.2,High-Risk
138,17,Female,3,6.96,1,72.2,2,2.15,6.84,5.26,5.72,18.6,12.8,10.1,25.7,Moderate-Risk
139,19,Male,3,4.61,0,77.9,0,3.87,4.72,0.0,5.18,13.3,17.7,10.0,19.4,Moderate-Risk
140,19,Female,1,6.13,0,79.3,0,2.55,4.45,4.52,5.02,17.8,16.4,9.0,16.9,Moderate-Risk
141,22,Female,4,7.38,0,61.0,3,3.51,8.29,2.99,4.35,22.2,18.5,9.0,26.9,Good-Performance
142,18,Male,4,5.75,2,86.0,0,2.38,5.96,4.59,4.58,16.2,17.1,10.9,19.8,Moderate-Risk
143,18,Male,1,6.8,0,90.6,0,2.85,6.83,4.3,5.89,17.5,18.0,14.7,26.9,Good-Performance
144,19,Male,2,3.48,2,62.0,1,0.67,8.71,4.37,7.66,15.4,9.5,5.9,15.9,High-Risk
145,22,Male,4,3.57,6,74.1,3,2.86,6.97,7.15,6.03,12.9,11.0,7.0,27.2,Moderate-Risk
146,22,Male,2,6.12,2,73.0,2,2.62,7.75,4.54,4.73,17.5,9.8,12.9,11.2,High-Risk
147,17,Male,4,4.38,3,51.8,6,0.63,7.15,4.46,6.02,12.3,16.1,6.3,13.5,High-Risk
148,18,Female,1,5.97,0,90.5,0,1.82,4.13,5.95,3.94,16.7,15.8,8.4,22.2,Moderate-Risk
149,21,Female,3,5.69,1,82.1,1,3.17,8.54,2.88,7.8,18.3,12.2,9.6,15.5,Moderate-Risk
150,17,Female,3,7.87,1,89.4,0,0.99,9.97,4.32,9.22,23.8,21.3,12.3,27.2,Good-Performance
151,22,Male,2,6.67,4,76.4,1,2.89,5.71,2.26,6.26,20.1,12.6,10.2,16.6,Moderate-Risk
152,18,Male,3,7.63,0,94.8,0,3.81,8.59,6.25,7.71,24.4,21.4,13.2,27.3,Good-Performance
153,22,Male,1,7.21,0,67.0,3,2.07,7.64,5.46,5.44,16.0,18.0,7.9,23.5,Moderate-Risk
154,18,Male,1,7.0,0,71.2,3,2.21,4.75,9.14,6.28,10.6,12.2,8.3,22.8,Moderate-Risk
155,19,Female,1,6.76,1,84.8,1,3.06,8.0,1.73,6.49,16.4,11.5,11.7,24.5,Moderate-Risk
156,20,Male,1,6.74,1,75.3,4,1.98,5.74,6.94,7.57,25.0,16.0,7.2,21.1,Moderate-Risk
157,17,Male,1,7.65,1,94.9,1,4.21,10.0,1.49,6.04,20.0,20.4,10.1,28.4,Moderate-Risk
158,20,Female,2,6.26,0,79.0,1,2.66,6.53,3.01,6.11,9.9,10.6,10.5,23.3,Moderate-Risk
159,20,Male,1,3.94,1,65.9,3,1.04,5.84,0.71,4.44,20.0,8.8,6.8,12.1,High-Risk
160,21,Male,1,3.31,2,58.4,2,1.22,2.28,5.14,6.34,11.4,14.8,5.4,18.6,High-Risk
161,22,Male,1,6.0,2,79.0,1,2.88,6.77,5.55,5.32,12.8,15.0,9.7,23.6,Moderate-Risk
162,20,Female,4,4.48,3,78.9,2,2.71,6.79,4.36,5.79,6.4,18.5,6.7,7.7,High-Risk
163,19,Female,1,8.59,0,93.1,1,4.49,6.53,0.63,4.88,22.2,22.9,11.6,30.2,Good-Performance
164,19,Male,3,7.35,1,87.4,1,3.71,6.2,3.93,5.86,20.7,17.4,10.7,21.3,Good-Performance
165,19,Female,1,4.58,4,78.1,2,2.17,4.9,5.26,6.96,16.6,11.2,6.7,12.2,High-Risk
166,21,Female,1,5.78,4,62.8,3,3.32,3.49,3.17,6.14,16.1,9.1,9.5,15.8,Moderate-Risk
167,18,Female,2,8.55,0,81.1,3,2.0,5.11,4.94,7.84,13.9,19.0,8.8,24.5,Moderate-Risk
168,18,Male,2,5.37,3,64.1,4,0.05,6.8,,5.28,8.7,10.7,7.2,25.4,High-Risk
169,19,Male,2,5.64,2,52.5,4,1.82,3.07,3.85,5.53,12.8,11.4,8.7,15.5,High-Risk
170,17,Female,3,5.2,4,78.7,1,2.48,3.23,2.83,7.28,17.7,14.3,11.3,19.5,Moderate-Risk
171,17,Male,2,6.33,3,65.8,2,0.27,5.24,4.84,4.55,14.3,13.2,9.0,22.8,Moderate-Risk
172,17,Female,1,8.41,1,87.1,1,2.99,7.06,8.63,8.12,10.8,20.7,14.9,23.8,Moderate-Risk
173,21,Female,4,8.88,1,79.7,0,3.29,7.98,6.01,8.8,22.5,20.4,10.0,28.4,Good-Performance
174,21,Male,1,6.26,1,100.0,0,4.01,6.3,1.98,4.52,10.7,17.5,12.6,24.5,Moderate-Risk
175,21,Female,3,7.43,1,75.5,1,2.89,5.38,7.71,9.65,14.6,16.7,8.6,18.2,Moderate-Risk
176,19,Female,3,7.56,0,96.9,1,1.69,8.33,,6.17,21.7,11.4,13.8,24.2,Moderate-Risk
177,21,Female,2,6.22,2,68.6,2,0.99,7.01,4.53,3.79,16.5,15.0,8.1,14.3,High-Risk
178,17,Male,2,3.97,6,61.3,1,0.32,6.61,2.42,4.6,5.3,11.6,4.7,16.9,High-Risk
179,22,Female,2,4.86,3,85.8,0,2.63,6.89,,6.06,17.6,7.7,10.5,19.9,High-Risk
180,20,Male,3,5.49,6,64.2,3,2.19,2.96,1.09,4.9,18.1,7.3,7.4,16.8,Moderate-Risk
181,22,Female,4,5.62,3,71.5,0,1.44,4.45,2.75,4.63,16.2,12.8,6.4,21.5,High-Risk
182,17,Female,2,5.2,7,74.3,2,1.86,7.53,6.22,4.57,12.8,11.3,7.6,16.3,High-Risk
183,19,Female,4,6.12,6,74.8,3,1.18,8.62,5.25,4.54,16.4,14.4,10.3,8.8,Moderate-Risk
184,21,Male,1,8.39,0,85.7,0,4.84,6.81,3.49,8.76,16.3,18.6,10.8,23.6,Moderate-Risk
185,19,Male,1,9.2,0,90.3,2,4.39,7.48,4.61,6.95,25.0,25.0,12.2,32.6,Good-Performance
186,19,Male,2,4.09,3,72.1,1,1.83,3.63,6.39,7.15,16.2,9.9,6.6,19.2,High-Risk
187,17,Male,4,5.17,4,71.1,0,2.71,7.49,5.77,5.02,11.5,14.7,4.0,12.9,High-Risk
188,19,Male,2,6.51,2,80.5,0,2.78,4.35,6.32,5.2,16.7,12.4,12.7,17.1,High-Risk
189,18,Female,3,7.98,0,86.0,1,3.14,9.98,2.62,5.4,22.2,19.9,11.1,28.7,Good-Performance
190,18,Male,2,6.47,2,80.3,2,2.17,6.16,3.58,5.41,14.9,14.1,10.7,15.7,Moderate-Risk
191,21,Female,4,5.94,1,82.9,1,3.08,4.76,8.87,7.48,7.0,9.9,10.8,18.6,Moderate-Risk
192,20,Female,4,7.9,0,80.0,0,3.1,4.16,4.21,5.11,18.7,15.9,9.2,26.2,Moderate-Risk
193,20,Male,3,7.85,0,91.8,0,2.59,6.92,4.08,6.16,9.0,20.0,9.4,31.6,Moderate-Risk
194,19,Female,3,7.89,2,79.1,1,4.25,6.17,5.25,5.16,21.9,12.7,12.3,21.1,Moderate-Risk
195,22,Female,2,4.86,1,57.9,4,1.0,4.77,5.44,7.05,15.3,13.3,6.6,12.8,High-Risk
196,17,Male,4,7.05,0,73.3,3,1.15,6.37,3.01,5.36,15.7,17.3,9.2,19.7,Moderate-Risk
197,19,Male,3,6.03,2,71.2,4,3.21,8.08,0.02,8.46,19.0,16.7,8.2,31.0,Moderate-Risk
198,17,Female,2,5.16,2,76.9,1,1.65,7.09,4.36,5.83,11.6,17.6,4.6,22.4,High-Risk
199,19,Female,4,5.36,4,71.6,1,2.48,6.13,4.96,9.86,18.5,21.2,8.4,25.0,Moderate-Risk
200,22,Female,3,7.3,1,88.3,1,4.88,8.92,,8.58,20.4,15.3,11.6,27.0,Moderate-Risk
201,19,Female,3,7.24,1,84.5,1,1.46,5.31,5.53,5.98,17.4,15.2,11.5,19.8,Moderate-Risk
202,22,Other,3,7.66,1,96.7,0,3.29,8.59,5.67,6.82,18.2,19.2,11.0,22.9,Moderate-Risk
203,19,Male,2,7.54,0,92.2,1,4.9,8.61,6.95,8.78,19.7,18.9,11.4,26.8,Good-Performance
204,21,Female,2,8.49,1,90.4,1,3.48,9.24,2.8,7.34,19.9,21.7,11.5,27.7,Moderate-Risk
205,19,Male,1,5.96,1,71.4,1,1.93,3.78,5.73,6.66,11.4,18.3,9.9,14.8,High-Risk
206,18,Other,4,8.85,0,76.7,2,5.48,5.63,6.1,9.3,15.5,25.0,9.9,29.9,Good-Performance
207,21,Male,3,6.94,1,70.9,2,2.79,5.19,7.96,6.35,20.7,16.7,7.3,19.4,Good-Performance
208,22,Male,4,9.77,0,95.9,0,4.94,9.16,6.7,3.68,25.0,20.2,15.0,32.3,Good-Performance
209,18,Female,2,7.3,1,88.7,0,4.23,7.18,7.11,6.7,14.5,16.8,12.9,24.2,Moderate-Risk
210,21,Male,4,6.83,1,82.5,2,3.94,7.75,5.3,8.31,18.8,15.3,10.0,28.0,Moderate-Risk
211,18,Female,2,7.16,3,91.1,0,3.92,3.75,4.1,6.22,17.4,19.9,9.8,22.8,Moderate-Risk
212,21,Male,2,6.66,2,89.3,1,1.61,8.83,7.54,5.03,13.6,18.3,9.5,24.1,Moderate-Risk
213,21,Female,4,5.51,0,70.1,2,3.4,6.3,2.46,6.13,16.2,18.0,8.0,20.3,Moderate-Risk
214,19,Female,3,7.3,0,96.5,0,2.89,7.9,8.05,8.81,17.2,24.1,9.5,25.6,Good-Performance
215,21,Male,4,6.55,0,66.5,3,2.25,6.86,6.58,4.24,20.2,17.2,10.1,23.8,Moderate-Risk
216,18,Female,3,7.9,0,100.0,0,3.62,6.75,4.33,3.77,21.1,17.6,9.7,28.2,Good-Performance
217,17,Male,1,7.29,2,79.4,1,2.92,7.34,1.82,5.21,15.3,16.9,13.7,24.4,Good-Performance
218,17,Female,2,6.88,5,75.0,0,3.81,6.09,4.86,7.94,13.3,11.9,6.5,20.6,Moderate-Risk
219,19,Female,4,6.06,1,75.1,0,2.58,6.15,3.73,3.16,16.6,12.9,5.9,25.5,High-Risk
220,22,Female,2,4.77,2,59.1,3,0.74,5.72,1.83,6.33,6.0,11.8,8.4,18.6,High-Risk
221,17,Male,3,8.64,0,99.8,0,2.92,7.84,3.86,7.31,17.3,22.5,11.9,29.8,Good-Performance
222,19,Male,1,6.03,3,67.3,3,2.02,3.65,6.81,5.73,13.5,11.4,9.1,17.5,High-Risk
223,21,Female,2,7.53,1,77.4,2,2.06,6.63,4.98,4.1,18.1,14.2,11.1,35.0,Good-Performance
224,18,Female,4,6.68,1,66.8,1,2.08,8.61,4.52,6.92,19.9,19.0,9.4,29.1,Moderate-Risk
225,21,Male,4,7.33,0,73.0,2,2.52,5.54,1.86,4.47,12.1,13.9,9.9,19.4,High-Risk
226,18,Male,2,6.25,5,69.7,4,2.03,6.16,4.64,6.45,14.0,15.9,9.9,23.8,Moderate-Risk
